name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Wealth Canadian Preferred Share Pool,M,,0.15,,4.9,-14.3,7.6,13.7,-8.4,3.2,11.6,23.9,-17.5,9.2
Scotia Wealth World Infrastructure Pool,M,,0.36,,,,,,,,,,-0.6,0.6
Scotia Partners Balanced Growth Portfolio Class,A,BNS1347,2.35,,,,,7.3,-2.6,12.8,7.8,8.1,-13.0,9.2
Scotia INNOVA Balanced Growth Portfolio,F,BNS5332,1.03,,,,,,,,,,,10.3
Scotia U.S. Equity Index Fund,A,BNS382,1.06,,22.5,19.1,7.3,12.2,2.4,23.3,14.5,25.7,-15.3,23.2
Scotia Partners Growth Portfolio,A,BNS348,2.4,,9.2,3.7,5.9,9.7,-3.7,14.9,8.4,10.8,-13.7,10.3
1832 AM U.S. $ Investment Grade U.S. Corporate Bond Pool,M,,0.11,,,,,,,,,-0.1,-9.1,9.2
Scotia Canadian Bond Index Fund,F,BNS586,0.46,,8.0,2.7,0.9,1.8,0.6,6.0,7.8,-3.6,-12.0,5.7
Scotia Partners Balanced Growth Portfolio Class,FT,BNS51447,1.26,,,,,,,,,,,10.4
Scotia U.S. Equity Fund,A,BNS353,2.23,,15.7,19.1,-4.9,17.2,5.4,26.6,25.9,34.6,-24.7,35.5
Scotia Global Small Cap Fund,A,BNS395,2.16,,13.4,19.6,-5.3,13.4,-9.7,24.4,17.8,12.8,-16.4,20.9
Scotia Canadian Small Cap Fund,K,PIN6620,0.42,,,,,4.3,-18.2,35.9,39.6,42.5,-18.4,-0.7
Scotia Wealth Premium Payout Pool,M,,0.57,,,,2.9,9.8,-1.9,11.7,2.5,15.4,2.3,23.3
Scotia INNOVA Balanced Income Portfolio,FT,BNS5431,0.93,,,,,,,,,,,8.9
Scotia Selected Growth Portfolio,F,BNS542,1.02,,11.2,7.3,6.1,11.7,-3.9,17.1,14.2,12.1,-11.1,12.8
Scotia Partners Balanced Income Portfolio,F,BNS546,1.07,,8.7,4.0,5.5,5.5,-0.3,10.2,8.2,4.8,-11.2,8.8
Scotia Low Carbon Global Equity Fund,F,BNS569,1.44,,,,,,,,,19.2,-17.8,24.6
Scotia Selected Balanced Income Portfolio,FT,BNS5440,0.8,,,,,,,,,,,9.1
Scotia Canadian Equity Blend Class,F,BNS51369,1.3,,,,,,,,,,,9.8
Scotia Partners Maximum Growth Portfolio Class,A,BNS1349,2.58,,,,,10.7,-5.0,16.9,8.6,13.3,-14.2,10.9
Scotia Wealth High Yield Income Pool,M,,0.44,,5.8,0.3,10.8,0.4,-3.2,7.3,-6.8,32.9,7.7,13.8
Scotia INNOVA Growth Portfolio,A,BNS333,2.25,,9.4,6.0,4.2,7.1,-4.4,12.9,4.9,12.5,-11.0,10.2
Scotia INNOVA Balanced Growth Portfolio Class,A,BNS1332,2.21,,9.7,5.3,4.2,6.0,-3.3,11.5,4.4,10.2,-10.9,9.6
Scotia Diversiﬁed Monthly Income Fund,F,BNS539,0.8,,8.3,4.0,5.2,7.3,-0.5,12.0,3.1,13.2,-5.4,7.0
Scotia U.S. $ Bond Fund,A,BNS359,1.35,,4.5,-1.6,0.2,1.6,-1.4,8.2,8.0,-1.4,-13.6,6.1
Scotia Global Bond Fund,A,BNS379,1.62,,7.4,10.9,-4.2,0.8,6.8,-1.0,8.2,-6.8,-13.5,5.9
Scotia International Equity Index Fund,A,BNS387,1.17,,2.3,15.7,-3.9,14.7,-7.6,14.9,3.3,9.1,-9.1,13.7
Scotia INNOVA Balanced Income Portfolio Class,F,BNS51331,0.98,,,,,,,,,,,9.2
Scotia Canadian Income Fund,F,BNS577,0.77,,7.5,1.5,2.1,2.4,3.1,5.0,7.8,-3.4,-10.5,7.0
Scotia Low Carbon Global Balanced Fund,F,BNS567,1.14,,,,,,,,,8.6,-15.2,15.6
Scotia Income Advantage Fund,A,BNS309,2.01,,7.1,4.4,2.7,6.1,-2.1,12.0,1.4,13.3,-7.4,3.5
Scotia Low Carbon Canadian Fixed Income Fund,K,PIN6268,0.12,,,,,,,,,-2.4,-11.4,7.3
Scotia Wealth Canadian Equity Pool,K,PIN6610,0.24,,,,,8.1,-12.1,22.1,4.3,22.7,-4.3,15.0
Scotia INNOVA Balanced Income Portfolio,T,BNS431,2.02,,7.6,2.8,3.5,3.9,-1.7,8.0,4.5,4.3,-9.5,7.6
Scotia Essentials Income Portfolio,A,BNS2201,1.48,,,1.7,5.4,5.1,-2.7,9.1,6.9,3.2,-11.6,8.1
Scotia Income Advantage Fund,M,,0.26,,9.2,6.4,4.7,8.0,-0.4,14.0,3.2,15.3,-5.8,5.3
Scotia Partners Balanced Income Portfolio Class,A,BNS1346,2.23,,,,,4.3,-1.4,8.9,7.2,3.3,-12.2,7.5
Scotia International Equity Fund,F,BNS593,1.31,,-4.3,16.2,-6.6,18.7,-6.5,19.3,19.1,7.4,-18.1,16.4
Scotia Partners Income Portfolio,T,BNS413,2.06,,,,,3.7,-1.2,8.0,6.6,1.9,-12.3,7.0
Scotia INNOVA Balanced Growth Portfolio Class,FT,BNS51432,1.08,,,,,,,,,,,10.9
Scotia Partners Growth Portfolio,FT,BNS5448,1.31,,,,,,,,,,,11.5
Scotia Wealth International Core Equity Pool,K,PIN6900,0.31,,,,,18.9,-3.7,22.7,19.5,7.6,-17.0,19.9
Scotia Wealth Canadian Small Cap Pool,F,PIN1420,1.4,,8.5,7.9,11.3,10.7,-18.3,11.0,9.8,22.6,-17.1,22.0
